id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1509273557041352704,1509273557041352704,2022-03-30 16:57:11 Eastern Daylight Time,2022-03-30,16:57:11,-0400,16335288,henrymcmaster,Gov. Henry McMaster,,Congratulations @dawnstaley on this tremendous achievement! Best of luck to you and the @GamecockWBB team this Friday against Louisville.   You make South Carolina proud!,en,"[{'screen_name': 'dawnstaley', 'name': 'dawnstaley', 'id': '18883414'}, {'screen_name': 'gamecockwbb', 'name': 'gamecockwbb', 'id': '89492950'}]",[],[],1,2,28,[],[],https://twitter.com/henrymcmaster/status/1509273557041352704,False,https://twitter.com/GamecockWBB/status/1509269225189384192,0,,,,,,,,[],,,,
1509242861425934337,1509242861425934337,2022-03-30 14:55:13 Eastern Daylight Time,2022-03-30,14:55:13,-0400,16335288,henrymcmaster,Gov. Henry McMaster,,Proud to join the South Carolina Military Department this morning for SC Military Day at the Statehouse.   In South Carolina we are proud of our longstanding military tradition and we must do all that we can to continue to support our military in South Carolina.  https://t.co/KrpwDdtb1D,en,[],[],"['https://pbs.twimg.com/media/FPHoYjkXoAQbePQ.jpg', 'https://pbs.twimg.com/media/FPHoYjjWYAQlSBo.jpg', 'https://pbs.twimg.com/media/FPHoYjpWQAMMYGU.jpg', 'https://pbs.twimg.com/media/FPHoYjqXsAcIsZk.jpg']",8,17,72,[],[],https://twitter.com/henrymcmaster/status/1509242861425934337,False,,1,https://pbs.twimg.com/media/FPHoYjkXoAQbePQ.jpg,,,,,,,[],,,,
1509187703065165824,1509187703065165824,2022-03-30 11:16:02 Eastern Daylight Time,2022-03-30,11:16:02,-0400,16335288,henrymcmaster,Gov. Henry McMaster,,"Congratulations to @NucorCorp Steel on winning the title #CoolestThingMadeInSC. South Carolina is a manufacturing powerhouse. Thanks to the dedicated and innovative manufacturing workforce in our state, we have built a global reputation of building things and building them well.",en,"[{'screen_name': 'nucorcorp', 'name': 'nucor', 'id': '361259570'}]",[],[],1,4,21,['coolestthingmadeinsc'],[],https://twitter.com/henrymcmaster/status/1509187703065165824,False,https://twitter.com/SCManufacturers/status/1509173610258305027,0,,,,,,,,[],,,,
1508907175711752192,1508907175711752192,2022-03-29 16:41:19 Eastern Daylight Time,2022-03-29,16:41:19,-0400,16335288,henrymcmaster,Gov. Henry McMaster,,Joined United Community Bank to celebrate the groundbreaking of their new corporate headquarters in Greenville. This will not only create new jobs in the short term but will pave the way for a stronger South Carolina economy for years to come.  https://t.co/APRyCy0Um4,en,[],[],['https://pbs.twimg.com/media/FPC3FB7XoAEwzAN.jpg'],8,8,51,[],[],https://twitter.com/henrymcmaster/status/1508907175711752192,False,,1,https://pbs.twimg.com/media/FPC3FB7XoAEwzAN.jpg,,,,,,,[],,,,
1508852761965834246,1508852759319166979,2022-03-29 13:05:06 Eastern Daylight Time,2022-03-29,13:05:06,-0400,16335288,henrymcmaster,Gov. Henry McMaster,,We have an abundance of opportunity in South Carolina and I’m excited to see where this adventure takes these students.,en,[],[],[],4,3,39,[],[],https://twitter.com/henrymcmaster/status/1508852761965834246,False,,0,,,,,,,,[],,,,
1508852759319166979,1508852759319166979,2022-03-29 13:05:05 Eastern Daylight Time,2022-03-29,13:05:05,-0400,16335288,henrymcmaster,Gov. Henry McMaster,,Thrilled to join @RoadtripNation at their kick-off event today in Darlington. Road Trip Nation is producing a television series where three SC students are traveling the state interviewing professionals from all backgrounds to learn about career paths and opportunities in SC.  https://t.co/mDYr3MlVes,en,"[{'screen_name': 'roadtripnation', 'name': 'roadtrip nation', 'id': '19919458'}]",[],"['https://pbs.twimg.com/media/FPCFlXfXMAgcZAA.jpg', 'https://pbs.twimg.com/media/FPCFlX9XsBELB-e.jpg', 'https://pbs.twimg.com/media/FPCFlYgWUAMFxno.jpg', 'https://pbs.twimg.com/media/FPCFlYiXoAgXihg.jpg']",15,15,72,[],[],https://twitter.com/henrymcmaster/status/1508852759319166979,False,,1,https://pbs.twimg.com/media/FPCFlXfXMAgcZAA.jpg,,,,,,,[],,,,
1506614451717484551,1506614451717484551,2022-03-23 08:50:51 Eastern Daylight Time,2022-03-23,08:50:51,-0400,16335288,henrymcmaster,Gov. Henry McMaster,,"Riley Faith is an inspiration to us all and represents the very best of South Carolina. Her story is courageous and she serves as an example of how we can all make the world a better place.   Congratulations, Riley!",en,[],[],[],17,16,114,[],[],https://twitter.com/henrymcmaster/status/1506614451717484551,False,https://twitter.com/wyffnews4/status/1506402436516306950,0,,,,,,,,[],,,,
1506273195560734725,1506273195560734725,2022-03-22 10:14:49 Eastern Daylight Time,2022-03-22,10:14:49,-0400,16335288,henrymcmaster,Gov. Henry McMaster,,Agribusiness is our state's #1 industry and that is thanks to our hardworking farmers. I'm grateful for what they do for our state and country.   Happy National Agriculture Day!  https://t.co/3NQfI0GxIV,en,[],[],[],14,24,104,[],[],https://twitter.com/henrymcmaster/status/1506273195560734725,False,,1,https://pbs.twimg.com/amplify_video_thumb/1506270090483929095/img/3WKext_92iAZiIzs.jpg,,,,,,,[],,,,
1504807660859891744,1504807660859891744,2022-03-18 09:11:18 Eastern Daylight Time,2022-03-18,09:11:18,-0400,16335288,henrymcmaster,Gov. Henry McMaster,,"44 years ago today you made me the luckiest man in the world. Happy Anniversary, @1stLadySC!  https://t.co/QdSKVY5Gbm",en,"[{'screen_name': '1stladysc', 'name': 'first lady peggy mcmaster', 'id': '1039161816121790464'}]",[],['https://pbs.twimg.com/media/FOImlvSXEAQAlck.jpg'],57,13,478,[],[],https://twitter.com/henrymcmaster/status/1504807660859891744,False,,1,https://pbs.twimg.com/media/FOImlvSXEAQAlck.jpg,,,,,,,[],,,,
1504145257109372929,1504145257109372929,2022-03-16 13:19:09 Eastern Daylight Time,2022-03-16,13:19:09,-0400,16335288,henrymcmaster,Gov. Henry McMaster,,"Today I officially filed for re-election to serve as your governor for another term and build on our successes over the last four years. For South Carolina, the best is yet to come.  https://t.co/rzgQpupnrz",en,[],[],[],189,62,671,[],[],https://twitter.com/henrymcmaster/status/1504145257109372929,False,,1,https://pbs.twimg.com/media/FN_G9nQXIAU3_BN.jpg,,,,,,,[],,,,
