id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1508974287578828802,1508974287578828802,2022-03-29 21:08:00 Eastern Daylight Time,2022-03-29,21:08:00,-0400,806695193873358852,nmsecofstate,New Mexico Secretary of State,,We currently have openings for a Deputy Chief Information Officer &amp; for an Elections Management Analyst. Visit our website to view the job descriptions and then apply through @NM_SPO.   https://t.co/6DAwfUvSXw  #nmpol #nmleg  https://t.co/oYBzQBGEpc,en,"[{'screen_name': 'nm_spo', 'name': 'new mexico state personnel office', 'id': '1110615859586723846'}]",['https://www.sos.state.nm.us/about-the-office/job-openings-at-the-secretary-of-states-office/'],['https://pbs.twimg.com/media/FOskeoNUcAMztv5.jpg'],0,6,10,"['nmpol', 'nmleg']",[],https://twitter.com/NMSecOfState/status/1508974287578828802,False,,1,https://pbs.twimg.com/media/FOskeoNUcAMztv5.jpg,,,,,,,[],,,,
1508830157208911874,1508830157208911874,2022-03-29 11:35:16 Eastern Daylight Time,2022-03-29,11:35:16,-0400,806695193873358852,nmsecofstate,New Mexico Secretary of State,,No. You must be registered in order to vote. Every person who registers to vote in #NM must attest that they are a citizen of the U.S. &amp; a resident of NM &amp; must provide voter ID.  Check out our voter reg FAQ page:  https://t.co/LzpdP2SbGZ  #TrustedInfo2022 #nmpol #nmleg #VoteReady  https://t.co/7DgxJjxqbp,en,[],['https://www.sos.state.nm.us/voting-and-elections/voting-faqs/voter-registration/'],['https://pbs.twimg.com/media/FPBwuWEUcAIW1EB.jpg'],1,6,15,"['nm', 'trustedinfo2022', 'nmpol', 'nmleg', 'voteready']",[],https://twitter.com/NMSecOfState/status/1508830157208911874,False,,1,https://pbs.twimg.com/media/FPBwuWEUcAIW1EB.jpg,,,,,,,[],,,,
1508527323984793600,1508527323984793600,2022-03-28 15:31:55 Eastern Daylight Time,2022-03-28,15:31:55,-0400,806695193873358852,nmsecofstate,New Mexico Secretary of State,,"Every yr county clerks &amp; election admins from around #NM gather for Election School, a multi-day conference to prepare for upcoming elections. The theme is “Democracy Defenders” bc these dedicated public servants are the frontline workers that keep our democratic republic going.  https://t.co/0rTu8a2C5v",en,[],[],['https://pbs.twimg.com/media/FO9dmgIVgAIFsI1.jpg'],6,23,67,['nm'],[],https://twitter.com/NMSecOfState/status/1508527323984793600,False,,1,https://pbs.twimg.com/media/FO9dmgIVgAIFsI1.jpg,,,,,,,[],,,,
1508475752953663491,1508475752953663491,2022-03-28 12:07:00 Eastern Daylight Time,2022-03-28,12:07:00,-0400,806695193873358852,nmsecofstate,New Mexico Secretary of State,,We currently have openings for a Deputy Chief Information Officer &amp; for an Elections Management Analyst. Visit our website to view the job descriptions and then apply through @NM_SPO.   https://t.co/6DAwfUNum6  #nmpol #nmleg  https://t.co/XbrzYDa7n9,en,"[{'screen_name': 'nm_spo', 'name': 'new mexico state personnel office', 'id': '1110615859586723846'}]",['https://www.sos.state.nm.us/about-the-office/job-openings-at-the-secretary-of-states-office/'],['https://pbs.twimg.com/media/FOskVTxVQAQK6iZ.jpg'],0,2,4,"['nmpol', 'nmleg']",[],https://twitter.com/NMSecOfState/status/1508475752953663491,False,,1,https://pbs.twimg.com/media/FOskVTxVQAQK6iZ.jpg,,,,,,,[],,,,
1508128464360120321,1508128464360120321,2022-03-27 13:07:00 Eastern Daylight Time,2022-03-27,13:07:00,-0400,806695193873358852,nmsecofstate,New Mexico Secretary of State,,We currently have openings for a Deputy Chief Information Officer &amp; for an Elections Management Analyst. Visit our website to view the job descriptions and then apply through @NM_SPO.   https://t.co/6DAwfUNum6  #nmpol #nmleg  https://t.co/KpKbiXHaTZ,en,"[{'screen_name': 'nm_spo', 'name': 'new mexico state personnel office', 'id': '1110615859586723846'}]",['https://www.sos.state.nm.us/about-the-office/job-openings-at-the-secretary-of-states-office/'],['https://pbs.twimg.com/media/FOskN-eVgAAaevc.jpg'],0,0,2,"['nmpol', 'nmleg']",[],https://twitter.com/NMSecOfState/status/1508128464360120321,False,,1,https://pbs.twimg.com/media/FOskN-eVgAAaevc.jpg,,,,,,,[],,,,
1507780924271849475,1507780924271849475,2022-03-26 14:06:00 Eastern Daylight Time,2022-03-26,14:06:00,-0400,806695193873358852,nmsecofstate,New Mexico Secretary of State,,We currently have openings for a Deputy Chief Information Officer &amp; for an Elections Management Analyst. Visit our website to view the job descriptions and then apply through @NM_SPO.   https://t.co/6DAwfUvSXw  #nmpol #nmleg  https://t.co/LEatZXkxgD,en,"[{'screen_name': 'nm_spo', 'name': 'new mexico state personnel office', 'id': '1110615859586723846'}]",['https://www.sos.state.nm.us/about-the-office/job-openings-at-the-secretary-of-states-office/'],['https://pbs.twimg.com/media/FOskLFTVEAACj3j.jpg'],0,3,2,"['nmpol', 'nmleg']",[],https://twitter.com/NMSecOfState/status/1507780924271849475,False,,1,https://pbs.twimg.com/media/FOskLFTVEAACj3j.jpg,,,,,,,[],,,,
1507524232921591809,1507524232921591809,2022-03-25 21:06:00 Eastern Daylight Time,2022-03-25,21:06:00,-0400,806695193873358852,nmsecofstate,New Mexico Secretary of State,,We currently have openings for a Deputy Chief Information Officer &amp; for an Elections Management Analyst. Visit our website to view the job descriptions and then apply through @NM_SPO.   https://t.co/6DAwfUvSXw  #nmpol #nmleg  https://t.co/TLtaqzeIyp,en,"[{'screen_name': 'nm_spo', 'name': 'new mexico state personnel office', 'id': '1110615859586723846'}]",['https://www.sos.state.nm.us/about-the-office/job-openings-at-the-secretary-of-states-office/'],['https://pbs.twimg.com/media/FOsj_nvVkAAOmnU.jpg'],0,3,4,"['nmpol', 'nmleg']",[],https://twitter.com/NMSecOfState/status/1507524232921591809,False,,1,https://pbs.twimg.com/media/FOsj_nvVkAAOmnU.jpg,,,,,,,[],,,,
1507372987112112128,1507372987112112128,2022-03-25 11:05:00 Eastern Daylight Time,2022-03-25,11:05:00,-0400,806695193873358852,nmsecofstate,New Mexico Secretary of State,,We currently have openings for a Deputy Chief Information Officer &amp; for an Elections Management Analyst. Visit our website to view the job descriptions and then apply through @NM_SPO.   https://t.co/6DAwfUNum6  #nmpol #nmleg  https://t.co/PZAK2HSac6,en,"[{'screen_name': 'nm_spo', 'name': 'new mexico state personnel office', 'id': '1110615859586723846'}]",['https://www.sos.state.nm.us/about-the-office/job-openings-at-the-secretary-of-states-office/'],['https://pbs.twimg.com/media/FOsjPMxVcAI6DEt.jpg'],0,1,2,"['nmpol', 'nmleg']",[],https://twitter.com/NMSecOfState/status/1507372987112112128,False,,1,https://pbs.twimg.com/media/FOsjPMxVcAI6DEt.jpg,,,,,,,[],,,,
1506721889611223040,1506721889611223040,2022-03-23 15:57:46 Eastern Daylight Time,2022-03-23,15:57:46,-0400,806695193873358852,nmsecofstate,New Mexico Secretary of State,,"Register to vote or update your registration. Find polling locations. Find deadlines, info for your local election officials, and much more.  https://t.co/bj7Vinl4xt is New Mexico's voter information portal. Get #VoteReady today!  #nmpol #nmleg #TrustedInfo2022  https://t.co/FfkawDscwq",en,[],['http://NMVOTE.ORG'],['https://pbs.twimg.com/media/FOjy5n0VcAM0Bap.jpg'],0,3,4,"['voteready', 'nmpol', 'nmleg', 'trustedinfo2022']",[],https://twitter.com/NMSecOfState/status/1506721889611223040,False,,1,https://pbs.twimg.com/media/FOjy5n0VcAM0Bap.jpg,,,,,,,[],,,,
1504508640774008834,1504506587666427905,2022-03-17 13:23:07 Eastern Daylight Time,2022-03-17,13:23:07,-0400,806695193873358852,nmsecofstate,New Mexico Secretary of State,,@OversightDems We appreciate that Congress is looking into this matter and treating it with the seriousness it deserves. #nmpol #nmleg,en,[],[],[],0,1,8,"['nmpol', 'nmleg']",[],https://twitter.com/NMSecOfState/status/1504508640774008834,False,,0,,,,,,,,"[{'screen_name': 'OversightDems', 'name': 'Oversight Committee', 'id': '31122582'}]",,,,
