id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1509329620042059776,1509329620042059776,2022-03-30 20:39:58 Eastern Daylight Time,2022-03-30,20:39:58,-0400,540973577,theothermandela,Mandela Barnes,,"Let’s say it one more time for the folks in the back. We can tackle climate change AND support our economy IF we invest in renewable energy, jobs, and infrastructure.",en,[],[],[],5,12,104,[],[],https://twitter.com/TheOtherMandela/status/1509329620042059776,False,,0,,,,,,,,[],,,,
1509297630752522248,1509297630752522248,2022-03-30 18:32:51 Eastern Daylight Time,2022-03-30,18:32:51,-0400,540973577,theothermandela,Mandela Barnes,,People across the country saw the same thing I saw in Judge Ketanji Brown Jackson last week:   She's highly qualified.  She's accomplished.  She's fair.   And I would be proud to vote to confirm her for the United States Supreme Court.,en,[],[],[],2,20,143,[],[],https://twitter.com/TheOtherMandela/status/1509297630752522248,False,https://twitter.com/mulawpoll/status/1509173182481289224,0,,,,,,,,[],,,,
1508988436966957062,1508988436966957062,2022-03-29 22:04:13 Eastern Daylight Time,2022-03-29,22:04:13,-0400,540973577,theothermandela,Mandela Barnes,,Inflation is the biggest issue on people’s minds right now (rightfully so).  How do we fix it? Make more products here. Improve supply chains. Invest in local businesses and workers. Raise wages.,en,[],[],[],18,16,112,[],[],https://twitter.com/TheOtherMandela/status/1508988436966957062,False,,0,,,,,,,,[],,,,
1508846241685422083,1508223570446413830,2022-03-29 12:39:11 Eastern Daylight Time,2022-03-29,12:39:11,-0400,540973577,theothermandela,Mandela Barnes,, https://t.co/Qj414Q97Xo,und,[],['https://secure.actblue.com/donate/mandela-social-mar21'],[],6,26,92,[],[],https://twitter.com/TheOtherMandela/status/1508846241685422083,False,,0,,,,,,,,[],,,,
1508846206952349698,1508514336339369990,2022-03-29 12:39:03 Eastern Daylight Time,2022-03-29,12:39:03,-0400,540973577,theothermandela,Mandela Barnes,, https://t.co/Qj414Q97Xo,und,[],['https://secure.actblue.com/donate/mandela-social-mar21'],[],1,3,14,[],[],https://twitter.com/TheOtherMandela/status/1508846206952349698,False,,0,,,,,,,,[],,,,
1508846172827529223,1508604025712922626,2022-03-29 12:38:55 Eastern Daylight Time,2022-03-29,12:38:55,-0400,540973577,theothermandela,Mandela Barnes,, https://t.co/Qj414Q97Xo,und,[],['https://secure.actblue.com/donate/mandela-social-mar21'],[],1,5,20,[],[],https://twitter.com/TheOtherMandela/status/1508846172827529223,False,,0,,,,,,,,[],,,,
1508846127818362882,1508821031917654021,2022-03-29 12:38:44 Eastern Daylight Time,2022-03-29,12:38:44,-0400,540973577,theothermandela,Mandela Barnes,, https://t.co/Qj414Q97Xo,und,[],['https://secure.actblue.com/donate/mandela-social-mar21'],[],0,2,16,[],[],https://twitter.com/TheOtherMandela/status/1508846127818362882,False,,0,,,,,,,,[],,,,
1508821031917654021,1508821031917654021,2022-03-29 10:59:01 Eastern Daylight Time,2022-03-29,10:59:01,-0400,540973577,theothermandela,Mandela Barnes,,"Even with $5 million in unopposed advertising by my self-funding opponents, voters believe I’m the one to send Ron Johnson packing.    People know I understand their experience because I share that experience.",en,[],[],[],8,38,701,[],[],https://twitter.com/TheOtherMandela/status/1508821031917654021,False,https://twitter.com/PoliticsInsider/status/1508784930603606017,0,,,,,,,,[],,,,
1508604025712922626,1508604025712922626,2022-03-28 20:36:42 Eastern Daylight Time,2022-03-28,20:36:42,-0400,540973577,theothermandela,Mandela Barnes,,"Reminder that Ron Johnson's solution to the child care crisis is to force struggling moms to take care of other people's kids.   As your Senator, I'll invest in child care and make sure hard-working parents get the support they need.",en,[],[],[],29,131,492,[],[],https://twitter.com/TheOtherMandela/status/1508604025712922626,False,,0,,,,,,,,[],,,,
1508547832537571337,1508547832537571337,2022-03-28 16:53:25 Eastern Daylight Time,2022-03-28,16:53:25,-0400,540973577,theothermandela,Mandela Barnes,,"Can’t let #WomensHistoryMonth conclude without talking about Vel Phillips. She is the definition of a trailblazer: attorney, alder, judge, and the first woman and first African American to serve as Wisconsin's Secretary of State. A mentor to me and an inspiration to all.  https://t.co/Sh4sN1uCCw",en,[],[],['https://pbs.twimg.com/media/FO9wQOmXIAcsf52.jpg'],5,21,203,['womenshistorymonth'],[],https://twitter.com/TheOtherMandela/status/1508547832537571337,False,,1,https://pbs.twimg.com/media/FO9wQOmXIAcsf52.jpg,,,,,,,[],,,,
