id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1484250010762027012,1484250010762027012,2022-01-20 14:42:33 Eastern Standard Time,2022-01-20,14:42:33,-0400,16239891,bethanyhalllong,Bethany Hall-Long,,"As the chair of the Behavioral Health Consortium, I am proud that our state is one of four in which the overdose deaths percentage saw a decrease, despite our national average. I promise to continue to work to facilitate changes for a healthcare system that works for all! #DESOTS",en,[],[],[],0,0,2,['desots'],[],https://twitter.com/bethanyhalllong/status/1484250010762027012,False,,0,,,,,,,,[],,,,
1484249425341992964,1484249425341992964,2022-01-20 14:40:13 Eastern Standard Time,2022-01-20,14:40:13,-0400,16239891,bethanyhalllong,Bethany Hall-Long,,"The resilience of the Delawarean spirit during these past two years has kept our state’s economy strong and prosperous despite the pandemic, and we are beyond hopeful for the future ahead. #DESTOS",en,[],[],[],0,0,1,['destos'],[],https://twitter.com/bethanyhalllong/status/1484249425341992964,False,,0,,,,,,,,[],,,,
1484249057799327745,1484249057799327745,2022-01-20 14:38:46 Eastern Standard Time,2022-01-20,14:38:46,-0400,16239891,bethanyhalllong,Bethany Hall-Long,,"As an educator myself, I understand wholeheartedly the value of quality education. I want to join @JohnCarneyDE in thanking our state’s teachers, administrators, professors, and academic professionals who have dedicated themselves to ensuring our youth obtain quality education.",en,"[{'screen_name': 'johncarneyde', 'name': 'governor john carney', 'id': '237770636'}]",[],[],0,0,5,[],[],https://twitter.com/bethanyhalllong/status/1484249057799327745,False,,0,,,,,,,,[],,,,
1484248010808823808,1484247825768669187,2022-01-20 14:34:36 Eastern Standard Time,2022-01-20,14:34:36,-0400,16239891,bethanyhalllong,Bethany Hall-Long,,"As echoed by our Governor, we are proud to be one of the few states that met President Biden’s goal of having 70% of adults vaccinated by the Fourth of July. #DESOTS",en,[],[],[],0,0,1,['desots'],[],https://twitter.com/bethanyhalllong/status/1484248010808823808,False,,0,,,,,,,,[],,,,
1484247825768669187,1484247825768669187,2022-01-20 14:33:52 Eastern Standard Time,2022-01-20,14:33:52,-0400,16239891,bethanyhalllong,Bethany Hall-Long,,"I would like to join Governor Carney in thanking our state’s National Guardsmen, healthcare workers, and emergency responders in dealing with the unprecedented challenges COVID-19 has placed on us these past two years. #DESOTS    https://t.co/1rnzkrBVLK",en,[],['https://governor.delaware.gov/state-of-the-state/'],[],1,0,1,['desots'],[],https://twitter.com/bethanyhalllong/status/1484247825768669187,False,,0,,,,,,,,[],,,,
1468656365375823886,1468656365375823886,2021-12-08 13:58:58 Eastern Standard Time,2021-12-08,13:58:58,-0400,16239891,bethanyhalllong,Bethany Hall-Long,,"I attended a beautiful memorial service Saint Poly Carps Church, Delaware State Police, friends and families to honor the lives of 33 Fallen Police Officers. These Heroes, personify the unwavering commit to Honor, Integrity, Courage, Discipline. Thank you for your service.  https://t.co/wLc3512yfh",en,[],[],['https://pbs.twimg.com/media/FGG2lk_XwAE6SlT.jpg'],1,0,0,[],[],https://twitter.com/bethanyhalllong/status/1468656365375823886,False,,1,https://pbs.twimg.com/media/FGG2lk_XwAE6SlT.jpg,,,,,,,[],,,,
1468301751287783429,1468301751287783429,2021-12-07 14:29:51 Eastern Standard Time,2021-12-07,14:29:51,-0400,16239891,bethanyhalllong,Bethany Hall-Long,,"Happy #DelawareDay! Today, Delaware became the first state to ratify the constitution in 1787. I am honored to work for a stronger and healthier Delaware every day!  https://t.co/hBHWUdm5c7",en,[],[],['https://pbs.twimg.com/media/FGB0hcjX0AguAOR.png'],0,0,0,['delawareday'],[],https://twitter.com/bethanyhalllong/status/1468301751287783429,False,,1,https://pbs.twimg.com/media/FGB0hcjX0AguAOR.png,,,,,,,[],,,,
835632695912841217,835632695912841217,2017-02-25 18:28:54 Eastern Standard Time,2017-02-25,18:28:54,-0400,16239891,bethanyhalllong,Bethany Hall-Long,,Great day of getting people out to vote for @HansenForSenate today! Polls close at 8. Don't forget to vote! #NetDE  https://t.co/fXUod70Zyv,en,"[{'screen_name': 'hansenforsenate', 'name': 'stephanie hansen', 'id': '814899449575206916'}]",[],"['https://pbs.twimg.com/media/C5jDensVMAIkGkQ.jpg', 'https://pbs.twimg.com/media/C5jDfNmUYAELoyv.jpg', 'https://pbs.twimg.com/media/C5jDf5hVMAAMvz7.jpg']",2,2,10,['netde'],[],https://twitter.com/bethanyhalllong/status/835632695912841217,False,,1,https://pbs.twimg.com/media/C5jDensVMAIkGkQ.jpg,,,,,,,[],,,,
834478280795373568,834478280795373568,2017-02-22 14:01:40 Eastern Standard Time,2017-02-22,14:01:40,-0400,16239891,bethanyhalllong,Bethany Hall-Long,,Congrats to Bishop Aretha Morton for receiving being the 2017 DelTech Black History Month honoree! #NetDE  https://t.co/0iJrFBxcQw,en,[],[],"['https://pbs.twimg.com/media/C5SphwgUcAAZbEb.jpg', 'https://pbs.twimg.com/media/C5Spi3xVUAAa3IF.jpg', 'https://pbs.twimg.com/media/C5SpjxPUEAAClzl.jpg']",0,0,2,['netde'],[],https://twitter.com/bethanyhalllong/status/834478280795373568,False,,1,https://pbs.twimg.com/media/C5SphwgUcAAZbEb.jpg,,,,,,,[],,,,
833500014194356224,833500014194356224,2017-02-19 21:14:23 Eastern Standard Time,2017-02-19,21:14:23,-0400,16239891,bethanyhalllong,Bethany Hall-Long,,Tune into Channel 28 now to hear @HansenForSenate talk about why she is running for state senate! #TeamHansen #NetDE  https://t.co/KdemRRLymi,en,"[{'screen_name': 'hansenforsenate', 'name': 'stephanie hansen', 'id': '814899449575206916'}]",[],"['https://pbs.twimg.com/media/C5Evzc1UcAAHCtW.jpg', 'https://pbs.twimg.com/media/C5Ev0Y6UYAAnaZG.jpg', 'https://pbs.twimg.com/media/C5Ev1RsVMAAd1uB.jpg']",0,4,6,"['teamhansen', 'netde']",[],https://twitter.com/bethanyhalllong/status/833500014194356224,False,,1,https://pbs.twimg.com/media/C5Evzc1UcAAHCtW.jpg,,,,,,,[],,,,
