id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1496957192653598725,1496957192653598725,2022-02-24 16:16:21 Eastern Standard Time,2022-02-24,16:16:21,-0400,23136027,seanreyesut,Sean Reyes,,"A privilege to speak on The Invasion panel today at @CPAC on southern border crisis with former Acting Director of the U.S. Immigration &amp; Customs Tom Homan,  https://t.co/d8Ow3IMT0h senior writer @Julio_Rosas11 and our fearless moderator @mercedesschlapp  https://t.co/lvHO5fG9h1",en,"[{'screen_name': 'cpac', 'name': 'cpac 2022', 'id': '120295432'}, {'screen_name': 'julio_rosas11', 'name': 'julio rosas', 'id': '1110434154'}, {'screen_name': 'mercedesschlapp', 'name': 'mercedes schlapp', 'id': '42670638'}]",['http://Townhall.com'],"['https://pbs.twimg.com/media/FMZCoeZVcA8wCLl.jpg', 'https://pbs.twimg.com/media/FMZColmUUAEeB0s.jpg']",23,13,55,[],[],https://twitter.com/SeanReyesUT/status/1496957192653598725,False,,1,https://pbs.twimg.com/media/FMZCoeZVcA8wCLl.jpg,,,,,,,[],,,,
1494458762077294596,1494458762077294596,2022-02-17 18:48:29 Eastern Standard Time,2022-02-17,18:48:29,-0400,23136027,seanreyesut,Sean Reyes,,Had the pleasure to meet with the Utah Sheriff's Association to discuss the National Child ID Program. The program supplies parents with voluntary ID kits that provide law enforcement with essential information to find missing children.  https://t.co/m72hBTf7wt,en,[],[],"['https://pbs.twimg.com/media/FL1h8_TWUAEzIvw.jpg', 'https://pbs.twimg.com/media/FL1gWzhWQAI1_lT.jpg', 'https://pbs.twimg.com/media/FL1gWzgWQAQK34X.jpg']",7,4,23,[],[],https://twitter.com/SeanReyesUT/status/1494458762077294596,False,,1,https://pbs.twimg.com/media/FL1h8_TWUAEzIvw.jpg,,,,,,,[],,,,
1492521704610045958,1492521704610045958,2022-02-12 10:31:18 Eastern Standard Time,2022-02-12,10:31:18,-0400,23136027,seanreyesut,Sean Reyes,,"Honored to have the opportunity to emcee Bonfire2022 and receive the Hunter Heisman award. Grateful to share the stage w/ America's finest! @CoachMSing, @SenMikeLee, @BurgessOwens, &amp; @RyanZinke  https://t.co/VEJIIfLL9x",en,"[{'screen_name': 'senmikelee', 'name': 'mike lee', 'id': '88784440'}, {'screen_name': 'burgessowens', 'name': 'burgess owens', 'id': '779104195'}, {'screen_name': 'ryanzinke', 'name': 'ryan zinke', 'id': '1906282568'}]",[],"['https://pbs.twimg.com/media/FLaAkTvXEAE93I0.jpg', 'https://pbs.twimg.com/media/FLaAkpRXoAYbRBr.jpg', 'https://pbs.twimg.com/media/FLaAlAGXIAU8fEo.jpg']",12,4,24,[],[],https://twitter.com/SeanReyesUT/status/1492521704610045958,False,,1,https://pbs.twimg.com/media/FLaAkTvXEAE93I0.jpg,,,,,,,[],,,,
1488886804111527937,1488886804111527937,2022-02-02 09:47:30 Eastern Standard Time,2022-02-02,09:47:30,-0400,23136027,seanreyesut,Sean Reyes,,Honored to kick off today's @GOP Conservative Steering Committee breakfast with the hope SLC is chosen to host RNC 2024.  https://t.co/8I4kc8sBhW,en,"[{'screen_name': 'gop', 'name': 'gop', 'id': '11134252'}]",[],['https://pbs.twimg.com/media/FKmWodsVkAE5iAg.jpg'],25,3,17,[],[],https://twitter.com/SeanReyesUT/status/1488886804111527937,False,,1,https://pbs.twimg.com/media/FKmWodsVkAE5iAg.jpg,,,,,,,[],,,,
1488604441380937729,1488604441380937729,2022-02-01 15:05:30 Eastern Standard Time,2022-02-01,15:05:30,-0400,23136027,seanreyesut,Sean Reyes,,"It's a pleasure to welcome my dear friend, @GOPChairwoman to the great state of Utah!  https://t.co/jpo6z2sR7o",en,"[{'screen_name': 'gopchairwoman', 'name': 'ronna mcdaniel', 'id': '2353605901'}]",[],['https://pbs.twimg.com/media/FKiV2TLVIAAbXqe.jpg'],161,38,210,[],[],https://twitter.com/SeanReyesUT/status/1488604441380937729,False,,1,https://pbs.twimg.com/media/FKiV2TLVIAAbXqe.jpg,,,,,,,[],,,,
1487482309829750789,1487482309829750789,2022-01-29 12:46:33 Eastern Standard Time,2022-01-29,12:46:33,-0400,23136027,seanreyesut,Sean Reyes,,"I am still in shock and deeply saddened by the sudden passing of my colleague and friend Wayne Stenehjem. He was a treasure for North Dakota as AG. Saysha and I send our heartfelt prayers to Beth and Andrew, and the entire Stenehjem family. Wayne will be missed immensely.",en,[],[],[],5,3,44,[],[],https://twitter.com/SeanReyesUT/status/1487482309829750789,False,,0,,,,,,,,[],,,,
1486889890407063554,1486889890407063554,2022-01-27 21:32:29 Eastern Standard Time,2022-01-27,21:32:29,-0400,23136027,seanreyesut,Sean Reyes,,The Biden open border policy is allowing drugs &amp; human trafficking to proliferate and is a clear and present danger and epidemic in our nation.  https://t.co/c8YU5NMXtb #BidenBorderCrisis  https://t.co/b29i9xJkvJ,en,[],['https://www.thecentersquare.com/national/texas-attorney-general-to-host-border-summit-with-12-state-ags/article_893fc7fc-7efb-11ec-80a8-fb7a3c7bb704.html'],"['https://pbs.twimg.com/media/FKJ-eOlUYAQWisT.jpg', 'https://pbs.twimg.com/media/FKJ-eWFVQAAwGSq.jpg', 'https://pbs.twimg.com/media/FKJ-eceVUAE9Wjj.jpg']",12,6,25,['bidenbordercrisis'],[],https://twitter.com/SeanReyesUT/status/1486889890407063554,False,,1,https://pbs.twimg.com/media/FKJ-eOlUYAQWisT.jpg,,,,,,,[],,,,
1486865579323445250,1486865579323445250,2022-01-27 19:55:53 Eastern Standard Time,2022-01-27,19:55:53,-0400,23136027,seanreyesut,Sean Reyes,,The Biden admin has made every state a border state. Substantive briefings today on the border w/ @KenPaxtonTX and other @GOP AG colleagues. It's time for real solutions.  https://t.co/RET8BXUfIM #BidenBorderCrisis #EndHumanTrafficking #opioidcrisis  https://t.co/Dhp0XMJjD0,en,"[{'screen_name': 'kenpaxtontx', 'name': 'attorney general ken paxton', 'id': '45840174'}, {'screen_name': 'gop', 'name': 'gop', 'id': '11134252'}]",['https://nypost.com/2022/01/25/biden-sets-yet-another-record-at-the-southern-non-border/'],"['https://pbs.twimg.com/media/FKJoXCUVEAEK2_X.jpg', 'https://pbs.twimg.com/media/FKJoXTkVgAMu9kG.jpg']",19,32,89,"['bidenbordercrisis', 'endhumantrafficking', 'opioidcrisis']",[],https://twitter.com/SeanReyesUT/status/1486865579323445250,False,,1,https://pbs.twimg.com/media/FKJoXCUVEAEK2_X.jpg,,,,,,,[],,,,
1485299293518921731,1485299293518921731,2022-01-23 12:12:01 Eastern Standard Time,2022-01-23,12:12:01,-0400,23136027,seanreyesut,Sean Reyes,,Congrats to my dear friend and Brother @francis_ngannou for reminding the world why he's the baddest man on the planet and still... 🏆💪🏾🔥  https://t.co/gzdgYW99Lr,en,"[{'screen_name': 'francis_ngannou', 'name': 'francis ngannou', 'id': '3908301134'}]",[],"['https://pbs.twimg.com/media/FJzX1YxVUAAQzFc.jpg', 'https://pbs.twimg.com/media/FJzX1huUcAAqmTz.jpg']",3,0,9,[],[],https://twitter.com/SeanReyesUT/status/1485299293518921731,False,,1,https://pbs.twimg.com/media/FJzX1YxVUAAQzFc.jpg,,,,,,,[],,,,
1484227471121600513,1484227471121600513,2022-01-20 13:12:59 Eastern Standard Time,2022-01-20,13:12:59,-0400,23136027,seanreyesut,Sean Reyes,,Thank you @TPPF for giving me the opportunity to weigh in on #humantrafficking and other important societal issues of the day with @AGRutledge &amp; @KenPaxtonTX including  protecting all Americans' rights from the Biden admin. overreach.  https://t.co/JOlLJSpfFu,en,"[{'screen_name': 'tppf', 'name': 'texas public policy foundation', 'id': '27702749'}, {'screen_name': 'agrutledge', 'name': 'leslie rutledge', 'id': '2969971876'}, {'screen_name': 'kenpaxtontx', 'name': 'attorney general ken paxton', 'id': '45840174'}]",[],['https://pbs.twimg.com/media/FJkJBLcUcAEhsan.jpg'],8,0,9,['humantrafficking'],[],https://twitter.com/SeanReyesUT/status/1484227471121600513,False,,1,https://pbs.twimg.com/media/FJkJBLcUcAEhsan.jpg,,,,,,,[],,,,
