id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1508834588977602565,1508834588977602565,2022-03-29 11:52:53 Eastern Daylight Time,2022-03-29,11:52:53,-0400,23228918,jocelynbenson,Jocelyn Benson,,"This November voters in Michigan and around the country will have an opportunity to choose who will be on the field, fighting to protect their democracy in future elections. Spoke with @futur_hindsight about why that matters for 2024 and beyond.",en,"[{'screen_name': 'futur_hindsight', 'name': 'future hindsight', 'id': '951176355160510465'}]",[],[],5,10,40,[],[],https://twitter.com/JocelynBenson/status/1508834588977602565,False,https://twitter.com/futur_hindsight/status/1508812989742333961,0,,,,,,,,[],,,,
1508485084013342725,1508485084013342725,2022-03-28 12:44:04 Eastern Daylight Time,2022-03-28,12:44:04,-0400,23228918,jocelynbenson,Jocelyn Benson,,Gratified to see the President’s budget includes significant funding for state &amp; local elections -$10 billion over 10 years – up from $75 million in the most recent omnibus budget. This is a tremendous step forward to help us protect &amp; defend democracy.  https://t.co/nKk9OtiFio,en,[],['https://www.whitehouse.gov/omb/budget/'],[],5,39,175,[],[],https://twitter.com/JocelynBenson/status/1508485084013342725,False,,0,,,,,,,,[],,,,
1508450967624294401,1508450967624294401,2022-03-28 10:28:31 Eastern Daylight Time,2022-03-28,10:28:31,-0400,23228918,jocelynbenson,Jocelyn Benson,,"The assaults on democracy continue across our country and across Michigan. Help me fight back, protect our elections, defeat candidates spreading the Big Lie and ensure every vote counts. Every dollar you give helps us win - could you donate today?  https://t.co/eLEg2O0pGF",en,[],['https://secure.actblue.com/donate/jbtwitter'],[],6,73,159,[],[],https://twitter.com/JocelynBenson/status/1508450967624294401,False,https://twitter.com/JocelynBenson/status/1503701544394530819,0,,,,,,,,[],,,,
1508056741723975686,1508056741723975686,2022-03-27 08:22:00 Eastern Daylight Time,2022-03-27,08:22:00,-0400,23228918,jocelynbenson,Jocelyn Benson,,"I truly believe our American democracy - &amp; democracies around the world - can emerge from this moment stronger &amp; healthier than ever before if we recognize that while we may disagree on some things, we can come together around the need to protect &amp; defend every voice, every vote.",en,[],[],[],96,418,2752,[],[],https://twitter.com/JocelynBenson/status/1508056741723975686,False,,0,,,,,,,,[],,,,
1507884008528568333,1507884008528568333,2022-03-26 20:55:37 Eastern Daylight Time,2022-03-26,20:55:37,-0400,23228918,jocelynbenson,Jocelyn Benson,,ELITE EIGHT @umichwbball #GoBlue,en,"[{'screen_name': 'umichwbball', 'name': 'michigan women’s basketball', 'id': '22643259'}]",[],[],9,17,194,['goblue'],[],https://twitter.com/JocelynBenson/status/1507884008528568333,False,,0,,,,,,,,[],,,,
1507830960817061904,1507830960817061904,2022-03-26 17:24:49 Eastern Daylight Time,2022-03-26,17:24:49,-0400,23228918,jocelynbenson,Jocelyn Benson,,"Indeed. Defending democracy is the greatest task of our time. And history is on our side. We can emerge from this moment stronger than before if we put in the work to protect and defend every voice, every vote. Let’s go.",en,[],[],[],17,146,636,[],[],https://twitter.com/JocelynBenson/status/1507830960817061904,False,https://twitter.com/POTUS/status/1507825187546447881,0,,,,,,,,[],,,,
1507531528494059532,1507531528494059532,2022-03-25 21:34:59 Eastern Daylight Time,2022-03-25,21:34:59,-0400,23228918,jocelynbenson,Jocelyn Benson,,I mean come on it’s National Peacock Day what did we think was going to happen,en,[],[],[],10,18,307,[],[],https://twitter.com/JocelynBenson/status/1507531528494059532,False,,0,,,,,,,,[],,,,
1507529957135863819,1507529957135863819,2022-03-25 21:28:44 Eastern Daylight Time,2022-03-25,21:28:44,-0400,23228918,jocelynbenson,Jocelyn Benson,,Anyone who comes on @twitter right now saying they had Saint Peters going to the Elite Eight in their bracket I don’t believe you.,en,"[{'screen_name': 'twitter', 'name': 'twitter', 'id': '783214'}]",[],[],39,19,540,[],[],https://twitter.com/JocelynBenson/status/1507529957135863819,False,,0,,,,,,,,[],,,,
1507467547225993217,1507467547225993217,2022-03-25 17:20:45 Eastern Daylight Time,2022-03-25,17:20:45,-0400,23228918,jocelynbenson,Jocelyn Benson,,"I’m so grateful for Heaster’s partnership throughout my term, his ongoing friendship and decades of service to our state. And I’m so excited to see what he takes on next!  https://t.co/1guQYPjF4a",en,[],[],['https://pbs.twimg.com/media/FOuZmgxXIAg8YsZ.jpg'],9,8,54,[],[],https://twitter.com/JocelynBenson/status/1507467547225993217,False,https://twitter.com/MichSoS/status/1507455240425115650,1,https://pbs.twimg.com/media/FOuZmgxXIAg8YsZ.jpg,,,,,,,[],,,,
1507395789223563272,1507395789223563272,2022-03-25 12:35:36 Eastern Daylight Time,2022-03-25,12:35:36,-0400,23228918,jocelynbenson,Jocelyn Benson,,"… and actively promoted/continue to promote baseless lies to enable a concerted, organized, unlawful effort to nullify the votes and silence the voices of millions of American citizens.",en,[],[],[],24,110,446,[],[],https://twitter.com/JocelynBenson/status/1507395789223563272,False,https://twitter.com/matthewjdowd/status/1507387881278611497,0,,,,,,,,[],,,,
