id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1509279349865857030,1509279349865857030,2022-03-30 17:20:12 Eastern Daylight Time,2022-03-30,17:20:12,-0400,201079432,ltgovtimgriffin,Lt. Gov. Tim Griffin,,"Terrible news out of Springdale today. A tornado this morning injured seven, with two in critical condition. My thoughts and prayers are with all those affected.  https://t.co/cG5Ursu5Lp",en,[],['https://www.4029tv.com/article/possible-tornado-brings-damage-to-springdale/39582200#'],[],0,1,2,[],[],https://twitter.com/LtGovTimGriffin/status/1509279349865857030,False,,0,,,,,,,,[],,,,
1509186471617613832,1509186471617613832,2022-03-30 11:11:08 Eastern Daylight Time,2022-03-30,11:11:08,-0400,201079432,ltgovtimgriffin,Lt. Gov. Tim Griffin,,"I served on the board of Pathway to Freedom, a faith-based non-profit at Wrightsville prison, which has HALF the recidivism rate of the state prison population as a whole. We have a blueprint to reduce recidivism, but it must be expanded:  https://t.co/ZhlxVrUqp4",en,[],['https://www.arkansasonline.com/news/2022/mar/29/department-of-corrections-secretary-recidivism/'],[],0,0,0,[],[],https://twitter.com/LtGovTimGriffin/status/1509186471617613832,False,,0,,,,,,,,[],,,,
1507764854735749128,1507764854735749128,2022-03-26 13:02:08 Eastern Daylight Time,2022-03-26,13:02:08,-0400,201079432,ltgovtimgriffin,Lt. Gov. Tim Griffin,,"Proud of work Arkansas Native Wendy Farrell is doing in Poland for Ukrainian orphans, featured on @NBCNightlyNews. Thank you for doing the Lord’s work for most vulnerable among us. James 1:27  https://t.co/rRBTrjTc2u",en,"[{'screen_name': 'nbcnightlynews', 'name': 'nbc nightly news with lester holt', 'id': '8839632'}]",['https://www.nbcnews.com/nightly-news/video/the-realities-of-war-for-ukraine-s-orphans-136169541789?fbclid=IwAR2AAL1ZdBT1ioUMmpKUmWr8RwxOqqmhHKDYH9G7pKiHynyIxZQLLuN7bnw'],[],0,2,6,[],[],https://twitter.com/LtGovTimGriffin/status/1507764854735749128,False,,0,,,,,,,,[],,,,
1507167972028260352,1507167972028260352,2022-03-24 21:30:21 Eastern Daylight Time,2022-03-24,21:30:21,-0400,201079432,ltgovtimgriffin,Lt. Gov. Tim Griffin,,Congratulations to @EricPmusselman and the @RazorbackMBB! #EliteEight  https://t.co/LbcXyU0Yow,en,"[{'screen_name': 'ericpmusselman', 'name': 'eric musselman', 'id': '868654430'}, {'screen_name': 'razorbackmbb', 'name': ""arkansas razorback men's basketball 🐗"", 'id': '621254841'}]",['https://www.kark.com/pig-trail-nation/arkansas-gonzaga-battle-in-the-sweet-sixteen/'],[],1,2,14,['eliteeight'],[],https://twitter.com/LtGovTimGriffin/status/1507167972028260352,False,,0,,,,,,,,[],,,,
1507016786151030789,1507016786151030789,2022-03-24 11:29:35 Eastern Daylight Time,2022-03-24,11:29:35,-0400,201079432,ltgovtimgriffin,Lt. Gov. Tim Griffin,,Stories like this fill the newspaper every day: two felons out on parole are arrested again for illegally possessing a firearm and drugs outside a nightclub. Our communities are made more dangerous because of our #ParoleProblem.  https://t.co/wcPbAaTYFr,en,[],['https://www.hotsr.com/news/2022/mar/23/felons-with-guns-arrested-outside-local-nightclub/'],[],0,1,2,['paroleproblem'],[],https://twitter.com/LtGovTimGriffin/status/1507016786151030789,False,,0,,,,,,,,[],,,,
1505364831746109448,1505364831746109448,2022-03-19 22:05:18 Eastern Daylight Time,2022-03-19,22:05:18,-0400,201079432,ltgovtimgriffin,Lt. Gov. Tim Griffin,,Saying prayers for entire Dumas community after tonight’s senseless &amp; tragic shooting as families with young children gathered for community event on Sat. evening. God Bless the law enforcement officers who are on the scene responding.  https://t.co/WFVDHPQHbK,en,[],['https://tinyurl.com/4xrvykcu'],[],70,5,14,[],[],https://twitter.com/LtGovTimGriffin/status/1505364831746109448,False,,0,,,,,,,,[],,,,
1503811049023500289,1503811049023500289,2022-03-15 15:11:08 Eastern Daylight Time,2022-03-15,15:11:08,-0400,201079432,ltgovtimgriffin,Lt. Gov. Tim Griffin,,"Thank you to our defense industry workers. Hard-working patriots like those in @cityofcamden produce missiles &amp; key weapon components that are critical to protecting democracy, including weapons being used to defend Ukraine from the Russian invasion.  https://t.co/f1QaqEx6hI",en,"[{'screen_name': 'cityofcamden', 'name': 'city of camden, ar', 'id': '191731479'}]",['https://tinyurl.com/32wjxf8z'],[],0,0,0,[],[],https://twitter.com/LtGovTimGriffin/status/1503811049023500289,False,,0,,,,,,,,[],,,,
1503745359935328272,1503745359935328272,2022-03-15 10:50:06 Eastern Daylight Time,2022-03-15,10:50:06,-0400,201079432,ltgovtimgriffin,Lt. Gov. Tim Griffin,,"Thanks to school choice, Arkansans have options for high quality education, &amp; I enjoyed sharing my thoughts and experiences as Lt. Governor &amp; Member of Congress with the Cabot Christian Co-op for homeschool students in @CityofCabot.  https://t.co/UbQxWwGazT",en,"[{'screen_name': 'cityofcabot', 'name': 'city of cabot', 'id': '820735298'}]",[],['https://pbs.twimg.com/media/FN5gbvXX0AMYaGv.jpg'],0,1,5,[],[],https://twitter.com/LtGovTimGriffin/status/1503745359935328272,False,,1,https://pbs.twimg.com/media/FN5gbvXX0AMYaGv.jpg,,,,,,,[],,,,
1503145887132004355,1503145887132004355,2022-03-13 19:08:01 Eastern Daylight Time,2022-03-13,19:08:01,-0400,201079432,ltgovtimgriffin,Lt. Gov. Tim Griffin,,"Journalist, cofounder of @LRFilmFestival &amp;  @CityLittleRock native Brent Renaud was tragically killed by Russian attack while telling story of Russia’s atrocities in Ukraine. My prayers are with his family &amp; all those suffering.  https://t.co/1i20eMVNbR",en,"[{'screen_name': 'lrfilmfestival', 'name': 'lrfilmfestival', 'id': '17472227'}, {'screen_name': 'citylittlerock', 'name': 'city of little rock', 'id': '273549411'}]",['https://tinyurl.com/yew57uzt'],[],0,2,3,[],[],https://twitter.com/LtGovTimGriffin/status/1503145887132004355,False,,0,,,,,,,,[],,,,
1502391357905813505,1502391357905813505,2022-03-11 16:09:47 Eastern Standard Time,2022-03-11,16:09:47,-0400,201079432,ltgovtimgriffin,Lt. Gov. Tim Griffin,,"Great to join @ARCOSLoffice &amp; @ScottFlippo to open the Bob Davis Veterans Center. Located in @ItsMountainHome, they provide vital services to veterans in need. They have housing for up to 18, a job placement program and other important services.  https://t.co/UwoNy5AZQh",en,"[{'screen_name': 'arcosloffice', 'name': 'ar land commissioner', 'id': '1173077432'}, {'screen_name': 'scottflippo', 'name': 'scott flippo', 'id': '1330622596170264577'}, {'screen_name': 'itsmountainhome', 'name': 'its mountain home', 'id': '40612661'}]",[],"['https://pbs.twimg.com/media/FNmQ-ZIXIAAbcmv.jpg', 'https://pbs.twimg.com/media/FNmQ-ZMX0Acs8lf.jpg']",0,0,2,[],[],https://twitter.com/LtGovTimGriffin/status/1502391357905813505,False,,1,https://pbs.twimg.com/media/FNmQ-ZIXIAAbcmv.jpg,,,,,,,[],,,,
