id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1509166278157774853,1509166278157774853,2022-03-30 09:50:54 Eastern Daylight Time,2022-03-30,09:50:54,-0400,1481701998273650692,governorva,Governor Glenn Youngkin,,History was made during #WomensHistoryMonth when winemaker Melanie Natoli became the first woman ever to receive the coveted Virginia Governor’s Cup during its 40th anniversary of the competition.    Congratulations to @canavineyards!  https://t.co/YPKmmsJLrF,en,"[{'screen_name': 'canavineyards', 'name': 'canavineyards', 'id': '726469934'}]",[],"['https://pbs.twimg.com/media/FPGiuhUWYAgnxgZ.jpg', 'https://pbs.twimg.com/media/FPGiuhVXsAYX9jC.jpg']",16,29,179,['womenshistorymonth'],[],https://twitter.com/GovernorVA/status/1509166278157774853,False,,1,https://pbs.twimg.com/media/FPGiuhUWYAgnxgZ.jpg,,,,,,,[],,,,
1508891315429429254,1508891315429429254,2022-03-29 15:38:18 Eastern Daylight Time,2022-03-29,15:38:18,-0400,1481701998273650692,governorva,Governor Glenn Youngkin,,I was honored to present Vietnam Veterans with a special pin today at the @VAWarMemorial. I hope you wear it proudly and know how thankful we are for your service. America is better for your sacrifice. Thank you for keeping us safe. 🇺🇸 #VietnamVeteransDay  https://t.co/qr3GqPKrrg,en,"[{'screen_name': 'vawarmemorial', 'name': 'virginia war memorial', 'id': '41168554'}]",[],"['https://pbs.twimg.com/media/FPCopaKWQAYDjrd.jpg', 'https://pbs.twimg.com/media/FPCopaMXEAwldFa.jpg', 'https://pbs.twimg.com/media/FPCopaLWQAQYo2O.jpg', 'https://pbs.twimg.com/media/FPCopbDXsAQUzu_.jpg']",17,64,387,['vietnamveteransday'],[],https://twitter.com/GovernorVA/status/1508891315429429254,False,,1,https://pbs.twimg.com/media/FPCopaKWQAYDjrd.jpg,,,,,,,[],,,,
1508806243397296146,1508806243397296146,2022-03-29 10:00:15 Eastern Daylight Time,2022-03-29,10:00:15,-0400,1481701998273650692,governorva,Governor Glenn Youngkin,,"Today on National Vietnam War Veterans Day we recognize and honor the over 200,000 Virginians that served during the Vietnam era. The Commonwealth and the nation thank you for your unwavering dedication and service. 🇺🇸 #VietnamVeteransDay  https://t.co/bAqbAsZ1te",en,[],[],"['https://pbs.twimg.com/media/FPBbRn_XoAQxEC4.jpg', 'https://pbs.twimg.com/media/FPBbRn_XsAgflte.jpg', 'https://pbs.twimg.com/media/FPBbRn-XwBERD8O.jpg']",30,108,703,['vietnamveteransday'],[],https://twitter.com/GovernorVA/status/1508806243397296146,False,,1,https://pbs.twimg.com/media/FPBbRn_XoAQxEC4.jpg,,,,,,,[],,,,
1508504092036972546,1508504092036972546,2022-03-28 13:59:36 Eastern Daylight Time,2022-03-28,13:59:36,-0400,1481701998273650692,governorva,Governor Glenn Youngkin,,"To @LibertyU &amp; all VA students:  You are the future &amp; the inheritors of the American promise of opportunity.   You have my commitment to go to work every day, to improve this great Commonwealth. I hope one day you will graduate knowing that there is a future &amp; opportunity in VA.  https://t.co/ispMD4BXcg",en,"[{'screen_name': 'libertyu', 'name': 'liberty university', 'id': '16420152'}]",[],"['https://pbs.twimg.com/media/FO9IdV6WUAIYNrG.jpg', 'https://pbs.twimg.com/media/FO9IdV9WQAUKcLD.jpg', 'https://pbs.twimg.com/media/FO9IdV_WUAE0w06.jpg', 'https://pbs.twimg.com/media/FO9IdV_XwAosSjx.jpg']",62,67,518,[],[],https://twitter.com/GovernorVA/status/1508504092036972546,False,,1,https://pbs.twimg.com/media/FO9IdV6WUAIYNrG.jpg,,,,,,,[],,,,
1507447263047651378,1507447263047651378,2022-03-25 16:00:09 Eastern Daylight Time,2022-03-25,16:00:09,-0400,1481701998273650692,governorva,Governor Glenn Youngkin,,This Sunday is the application deadline to join the historic and prestigious Virginia Governor’s Fellows Program. Apply online today:  https://t.co/L1ECOlTSM1,en,[],['https://www.governor.virginia.gov/fellows/'],[],14,22,81,[],[],https://twitter.com/GovernorVA/status/1507447263047651378,False,,0,,,,,,,,[],,,,
1507407683153969160,1507407683153969160,2022-03-25 13:22:52 Eastern Daylight Time,2022-03-25,13:22:52,-0400,1481701998273650692,governorva,Governor Glenn Youngkin,,"Greater Richmond offers access to a talent pipeline from the region’s many higher education institutions, and the quality of life attracts and retains a skilled workforce that can serve Hamilton Select’s new U.S. operation for years to come.  https://t.co/8GWZXckZp6",en,[],['https://www.governor.virginia.gov/newsroom/news-releases/2022/march/name-930452-en.html'],[],12,20,103,[],[],https://twitter.com/GovernorVA/status/1507407683153969160,False,,0,,,,,,,,[],,,,
1507355218496864259,1507355218496864259,2022-03-25 09:54:24 Eastern Daylight Time,2022-03-25,09:54:24,-0400,1481701998273650692,governorva,Governor Glenn Youngkin,,"On #MedalOfHonorDay, we honor and recognize all the heroes who have displayed valor in the service of our country. Including the 74 recipients who were born or joined the military in Virginia. We are forever grateful for your service. 🇺🇸",en,[],[],[],23,73,574,['medalofhonorday'],[],https://twitter.com/GovernorVA/status/1507355218496864259,False,,0,,,,,,,,[],,,,
1507107808273219584,1507107808273219584,2022-03-24 17:31:16 Eastern Daylight Time,2022-03-24,17:31:16,-0400,1481701998273650692,governorva,Governor Glenn Youngkin,,"Last week, The First Lady and I were honored to recognize a lifelong resident of beautiful Roanoke County for #WomensHistoryMonth. Pat Carter’s commitment to the people and the community is unparalleled. She is a picture of faith, resilience and perseverance.  https://t.co/S54s0SFVCQ",en,[],[],"['https://pbs.twimg.com/media/FOpSjfMXMAkxCwB.jpg', 'https://pbs.twimg.com/media/FOpSjfRWUAExbL2.jpg', 'https://pbs.twimg.com/media/FOpSjfOXMAQPquI.jpg']",25,37,321,['womenshistorymonth'],[],https://twitter.com/GovernorVA/status/1507107808273219584,False,,1,https://pbs.twimg.com/media/FOpSjfMXMAkxCwB.jpg,,,,,,,[],,,,
1507022058525544453,1507022058525544453,2022-03-24 11:50:32 Eastern Daylight Time,2022-03-24,11:50:32,-0400,1481701998273650692,governorva,Governor Glenn Youngkin,,"Perdue AgriBusiness is a valued employer in Chesapeake and a major contributor to Virginia farmers’ livelihoods, and we look forward to its continued growth trajectory with the modernization and expansion of this facility.  https://t.co/Ix1OZUu20m",en,[],['https://www.governor.virginia.gov/newsroom/news-releases/2022/march/name-930362-en.html'],[],8,19,85,[],[],https://twitter.com/GovernorVA/status/1507022058525544453,False,,0,,,,,,,,[],,,,
1506993313198624769,1506993313198624769,2022-03-24 09:56:19 Eastern Daylight Time,2022-03-24,09:56:19,-0400,1481701998273650692,governorva,Governor Glenn Youngkin,,"Last night, I ordered the flags of the United States of America and the Commonwealth of Virginia to be flown at half-staff in memory of former Secretary of State Madeleine Albright.    https://t.co/R1TU54Z1fV",en,[],['https://www.governor.virginia.gov/constituent-services/flag-information/flag-orders/title-of-flag-order-930352-en.html'],[],38,40,544,[],[],https://twitter.com/GovernorVA/status/1506993313198624769,False,,0,,,,,,,,[],,,,
